	Primary_polyp_DMSO_1	Primary_polyp_DMSO_2	Primary_polyp_DMSO_3	Primary_polyp_AZK_1	Primary_polyp_AZK_2	Primary_polyp_AZK_3
NODE_56699_length_993_cov_366.912632_g11784_i3	29	34	36	289	287	298
NODE_48839_length_1294_cov_532.666667_g13701_i0	162	158	185	597	547	541
NODE_20726_length_2850_cov_705.433915_g830_i19	1200	1208	1162	1662	1686	1764
NODE_84364_length_366_cov_1209.777090_g40386_i0	12464	11782	12565	18191	18276	16366
NODE_69855_length_604_cov_673.962567_g15769_i1	1185	1154	1174	1817	1833	1754
NODE_15196_length_3397_cov_257.655337_g3682_i0	32	32	30	271	272	271
NODE_28716_length_2288_cov_302.936748_g5989_i4	1130	1166	1196	1627	1724	1713
NODE_55067_length_1051_cov_242.860119_g10346_i5	58	66	66	366	389	305
NODE_119872_length_171_cov_659.781250_g75891_i0	667	697	640	1033	1087	1098
NODE_71686_length_563_cov_525.023077_g27991_i0	1920	1954	1770	2494	2533	2468
NODE_62102_length_815_cov_757.159326_g20432_i0	103	110	112	397	372	404
NODE_78064_length_448_cov_371.333333_g34118_i0	419	442	437	850	836	810
NODE_69133_length_622_cov_289.794473_g25741_i0	215	215	198	521	550	529
NODE_69856_length_604_cov_410.035651_g26341_i0	1152	1311	1280	59	65	68
NODE_3028_length_6503_cov_340.302322_g723_i0	49	50	51	299	285	290
NODE_43738_length_1514_cov_810.286200_g8146_i4	261	309	299	618	612	671
NODE_58924_length_919_cov_749.850457_g11246_i5	96	110	92	363	352	378
NODE_49588_length_1267_cov_412.614379_g3624_i2	1016	1046	966	1377	1394	1458
NODE_75540_length_489_cov_626.291480_g31640_i0	2616	2724	2650	3494	3365	3253
NODE_70484_length_590_cov_901.643510_g26906_i0	7851	8074	8218	8596	8647	8856
NODE_22034_length_2744_cov_650.165494_g2798_i7	652	829	737	1178	1144	1203
NODE_60497_length_866_cov_563.972053_g19407_i0	326	323	330	723	670	668
NODE_36564_length_1847_cov_588.473947_g5221_i1	245	265	257	567	558	563
NODE_35442_length_1905_cov_390.280344_g9155_i0	54	57	64	310	288	286
NODE_60413_length_869_cov_632.748184_g19356_i0	1862	1868	2049	2972	2781	2666
NODE_49972_length_1251_cov_573.134934_g14157_i0	1785	1847	1887	2423	2396	2313
NODE_33364_length_2017_cov_422.059777_g6652_i2	71	71	75	311	301	301
NODE_45916_length_1419_cov_565.553052_g9155_i3	41	48	40	236	250	272
NODE_82740_length_384_cov_620.351906_g38768_i0	1864	1900	1828	2397	2336	2286
NODE_46002_length_1415_cov_520.762391_g11331_i1	1554	1569	1609	2114	2077	2020
NODE_87303_length_337_cov_439.826531_g43325_i0	573	695	665	993	1026	1024
NODE_55002_length_1053_cov_656.116832_g16393_i0	846	1049	888	1302	1255	1432
NODE_70440_length_591_cov_873.930657_g26031_i1	42	42	41	267	233	249
NODE_28026_length_2330_cov_387.234368_g10_i7182	384	404	451	816	770	769
NODE_24548_length_2560_cov_439.382201_g5814_i2	185	189	207	494	471	471
NODE_62053_length_817_cov_316.218346_g20397_i0	367	340	388	800	711	732
NODE_71137_length_575_cov_413.902256_g27494_i0	440	385	373	742	810	758
NODE_63499_length_773_cov_516.069863_g21381_i0	1238	1334	1230	1536	1548	1557
NODE_82829_length_383_cov_463.729412_g38857_i0	3158	3448	3746	4413	4121	4293
NODE_72513_length_546_cov_602.536779_g28766_i0	2081	2422	2168	2420	2403	2566
NODE_43348_length_1531_cov_699.911962_g11699_i0	813	850	858	1159	1130	1167
NODE_31165_length_2141_cov_253.361296_g10_i7766	707	747	757	1091	1083	1041
NODE_71360_length_570_cov_804.548387_g27693_i0	2065	2012	2204	2934	2840	2640
NODE_30744_length_2167_cov_219.423729_g7775_i0	19	18	20	196	193	189
NODE_18852_length_3010_cov_487.663296_g10_i5081	448	491	467	719	712	781
NODE_29204_length_2258_cov_432.055079_g10_i7406	52	46	50	240	245	240
NODE_5457_length_5280_cov_726.572656_g1281_i0	240	247	230	480	471	510
NODE_46000_length_1415_cov_650.647959_g1275_i25	555	573	530	792	803	858
NODE_41737_length_1601_cov_646.466624_g8323_i4	1250	1230	1251	1672	1641	1565
NODE_62876_length_792_cov_146.097463_g102_i87	91	111	92	296	312	320
NODE_9182_length_4279_cov_219.650378_g2172_i0	20	19	18	185	187	187
NODE_41562_length_1609_cov_628.891443_g11089_i0	691	734	679	957	942	977
NODE_75813_length_484_cov_299.852608_g31909_i0	7	10	8	182	184	197
NODE_65337_length_719_cov_516.541420_g22695_i0	1263	1245	1314	1761	1750	1602
NODE_36640_length_1843_cov_557.651111_g10_i8773	979	1004	1028	1349	1334	1276
NODE_85933_length_350_cov_338.478827_g41955_i0	303	299	333	609	572	586
NODE_30737_length_2167_cov_346.659134_g2799_i24	660	693	689	940	921	948
NODE_40874_length_1640_cov_686.453976_g10850_i0	552	562	548	809	813	806
NODE_58150_length_945_cov_507.737317_g18038_i0	1422	1459	1518	1826	1788	1742
NODE_6252_length_5011_cov_712.653986_g1467_i0	211	218	211	439	425	454
NODE_37553_length_1800_cov_507.122368_g1052_i7	663	668	645	919	884	934
NODE_61696_length_828_cov_546.675159_g20164_i0	1025	1030	983	1219	1249	1261
NODE_18392_length_3058_cov_639.920730_g134_i6	109	112	121	337	317	320
NODE_32466_length_2067_cov_373.846344_g7767_i1	356	344	335	590	608	583
NODE_73648_length_525_cov_1193.437759_g29819_i0	3794	3918	3424	3699	3823	3850
NODE_21875_length_2757_cov_399.988946_g4865_i2	48	54	50	223	214	230
NODE_49917_length_1253_cov_290.352893_g14051_i1	11	8	7	166	175	174
NODE_31852_length_2102_cov_280.867411_g6251_i2	490	514	509	749	736	744
NODE_38385_length_1760_cov_606.807222_g2181_i3	1685	1824	1830	2086	2004	1998
NODE_65151_length_724_cov_780.944200_g22556_i0	1836	1684	1857	2259	2252	2171
NODE_74235_length_514_cov_305.010616_g30380_i0	164	166	167	382	378	374
NODE_54575_length_1069_cov_180.300195_g14705_i1	18	19	18	169	164	176
NODE_11131_length_3937_cov_442.604006_g1726_i9	1212	1258	1217	1502	1494	1427
NODE_67978_length_650_cov_341.028007_g24416_i1	154	155	152	348	359	367
NODE_81921_length_394_cov_878.327635_g37952_i0	3300	3202	2833	3343	3487	3427
NODE_17234_length_3172_cov_673.880473_g1792_i3	797	888	808	1020	1021	1060
NODE_23815_length_2614_cov_423.951770_g5814_i1	90	109	102	295	296	290
NODE_61574_length_832_cov_239.632446_g20092_i0	1554	1563	1559	1754	1720	1774
NODE_41008_length_1634_cov_343.548083_g10060_i1	536	556	546	793	789	772
NODE_113246_length_197_cov_165.961039_g69265_i0	655	622	680	1087	979	954
NODE_60821_length_856_cov_412.619926_g19589_i0	800	790	716	992	1057	1017
NODE_56546_length_998_cov_434.592670_g11193_i2	666	675	631	864	869	900
NODE_68837_length_629_cov_400.177474_g25490_i0	347	427	428	667	632	693
NODE_61736_length_827_cov_419.415816_g20186_i0	833	866	874	1188	1127	1091
NODE_55733_length_1027_cov_506.969512_g16743_i0	1552	1673	1537	1715	1665	1768
NODE_60820_length_856_cov_418.254613_g19588_i0	1277	1214	1228	1492	1529	1476
NODE_44514_length_1479_cov_774.283426_g8541_i2	1068	1082	1154	1465	1374	1368
NODE_74835_length_503_cov_275.863043_g30961_i0	16	16	12	159	157	165
NODE_28608_length_2294_cov_656.008885_g6640_i2	1874	2171	1952	1937	2079	2232
NODE_24897_length_2537_cov_752.181636_g6140_i0	2211	2229	2196	2377	2435	2309
NODE_54491_length_1072_cov_672.202138_g2237_i14	615	688	564	818	823	907
NODE_36157_length_1869_cov_155.199343_g10_i8691	583	621	638	877	844	840
NODE_58397_length_937_cov_191.155481_g18187_i0	3194	3101	3344	3634	3512	3458
NODE_58638_length_928_cov_333.375141_g11784_i4	20	20	23	182	170	158
NODE_70663_length_586_cov_632.303867_g27071_i0	460	422	434	705	764	670
NODE_40715_length_1648_cov_613.514642_g10798_i0	111	123	117	301	300	303
NODE_57556_length_965_cov_362.264642_g16725_i1	855	852	929	1339	1279	1146
NODE_60660_length_861_cov_520.463325_g17614_i1	1337	1294	1286	126	127	119
NODE_77158_length_462_cov_331.238663_g33226_i0	42	39	41	205	210	187
NODE_79543_length_426_cov_446.101828_g35584_i0	52	55	56	216	214	215
NODE_47170_length_1366_cov_620.767196_g13024_i0	549	567	620	872	828	818
NODE_87302_length_337_cov_645.482993_g43324_i0	2016	2521	2675	3292	2848	3220
NODE_77538_length_456_cov_279.125908_g33598_i0	546	564	526	721	714	775
NODE_47837_length_1338_cov_419.017761_g13269_i0	26	28	26	168	163	171
NODE_61597_length_831_cov_609.135787_g17185_i1	2505	1875	2087	3423	3662	2986
NODE_45382_length_1441_cov_337.021459_g84_i48	733	769	630	885	903	1015
NODE_44317_length_1488_cov_216.338408_g3965_i3	262	227	232	526	487	447
NODE_72619_length_544_cov_776.706587_g28865_i0	2066	1877	2060	2615	2570	2294
NODE_45053_length_1455_cov_355.420680_g10_i10162	610	632	697	935	921	864
NODE_56303_length_1007_cov_322.344398_g17035_i0	25	22	24	160	159	161
NODE_60143_length_878_cov_499.786826_g19198_i0	758	648	740	1131	980	1061
NODE_57527_length_966_cov_456.482124_g16458_i1	1504	1451	1710	2138	2030	1892
NODE_52160_length_1163_cov_474.517857_g10_i11171	605	613	680	970	873	875
NODE_46390_length_1400_cov_341.755343_g3237_i7	1097	1056	946	1191	1220	1256
NODE_97959_length_264_cov_206.656109_g53979_i0	22	24	31	212	159	163
NODE_85496_length_355_cov_6.782051_g41518_i0	95	98	94	262	262	257
NODE_54893_length_1057_cov_318.007890_g16333_i0	851	763	793	1104	1102	1018
NODE_4802_length_5561_cov_663.086988_g1101_i2	137	139	128	310	291	323
NODE_55148_length_1048_cov_803.582090_g10_i11509	37	40	31	162	178	189
NODE_49394_length_1274_cov_393.027620_g8504_i4	157	156	149	330	358	320
NODE_71004_length_578_cov_928.456075_g27375_i0	89	96	96	257	249	258
NODE_62105_length_815_cov_357.840674_g20435_i0	8	9	8	144	133	140
NODE_53585_length_1106_cov_575.014111_g15676_i0	1564	1539	1660	2034	1915	1777
NODE_53413_length_1112_cov_489.025257_g14993_i2	6	7	8	136	139	148
NODE_28801_length_2283_cov_413.862054_g10_i7335	1288	1334	1412	1544	1486	1491
NODE_39065_length_1727_cov_665.136580_g7954_i1	162	174	164	338	326	346
NODE_33624_length_2003_cov_590.678061_g10_i8221	516	592	514	680	681	762
NODE_27243_length_2380_cov_660.688062_g2798_i13	848	831	875	1113	1149	1008
NODE_45760_length_1425_cov_376.163531_g12521_i0	659	637	671	912	867	831
NODE_92991_length_293_cov_77.112000_g49012_i0	331	302	297	486	497	509
NODE_45548_length_1434_cov_226.567218_g934_i9	417	444	457	647	624	611
NODE_64217_length_752_cov_511.090268_g10_i12277	1668	1677	1878	2207	2099	1932
NODE_18182_length_3079_cov_317.654150_g10_i4925	642	660	627	785	799	787
NODE_48185_length_1323_cov_550.521094_g8528_i2	298	286	300	503	476	472
NODE_24057_length_2598_cov_645.816830_g5029_i2	2866	3258	3016	2829	2691	2990
NODE_54635_length_1067_cov_512.063477_g4892_i5	664	667	727	940	915	852
NODE_58963_length_918_cov_144.577143_g7931_i2	678	730	829	1026	991	946
NODE_52022_length_1169_cov_213.092362_g14979_i0	157	173	149	316	319	318
NODE_47509_length_1352_cov_328.274255_g12759_i1	30	37	29	153	149	171
NODE_54634_length_1067_cov_514.265625_g16196_i0	17	17	16	129	132	136
NODE_52996_length_1128_cov_458.157604_g8504_i6	107	121	99	246	254	281
NODE_58125_length_946_cov_380.361019_g10_i11804	1232	1241	1485	1881	1732	1589
NODE_78687_length_439_cov_96.510101_g34733_i0	163	139	157	331	329	318
NODE_25865_length_2471_cov_295.093493_g10_i6746	712	707	668	838	844	825
NODE_11558_length_3865_cov_647.253271_g2767_i0	270	288	293	455	433	454
NODE_59302_length_907_cov_488.854167_g18694_i0	171	171	205	356	376	353
NODE_56726_length_992_cov_636.335090_g11311_i7	960	1109	1075	1148	1098	1182
NODE_64513_length_743_cov_319.178571_g22086_i0	19	18	16	131	139	131
NODE_62962_length_789_cov_387.730563_g21016_i0	1332	1429	1646	1892	1723	1704
NODE_113018_length_198_cov_10.954839_g69037_i0	131	134	142	307	293	280
NODE_49586_length_1267_cov_520.517157_g11311_i3	431	447	377	556	565	596
NODE_33038_length_2034_cov_370.624309_g8406_i0	32	36	35	155	152	159
NODE_54401_length_1075_cov_492.163760_g10_i11433	2290	2149	2161	2170	2328	2173
NODE_24383_length_2572_cov_629.593911_g830_i23	275	311	279	436	420	459
NODE_51668_length_1183_cov_628.712281_g14832_i0	75	71	38	197	265	374
NODE_64284_length_750_cov_1010.213579_g21931_i0	140	163	167	311	298	322
NODE_40650_length_1651_cov_378.725746_g8457_i8	20	20	18	131	129	133
NODE_25326_length_2505_cov_455.793258_g10_i6630	878	912	972	1130	1098	1025
NODE_56976_length_984_cov_473.836344_g4949_i5	303	329	367	524	499	500
NODE_52360_length_1154_cov_489.089109_g11246_i1	23	23	25	143	137	131
NODE_51388_length_1193_cov_409.869565_g14724_i0	12	11	12	116	120	115
NODE_61095_length_847_cov_259.796020_g10837_i5	273	280	276	427	425	412
NODE_59073_length_914_cov_494.822044_g10_i11893	1221	1151	1291	1480	1396	1333
NODE_50216_length_1241_cov_904.151920_g14259_i0	1146	1140	1216	1266	1236	1229
NODE_64908_length_731_cov_366.194767_g7794_i10	540	551	604	720	706	699
NODE_55557_length_1034_cov_251.277497_g16657_i0	8	6	9	110	115	112
NODE_42863_length_1554_cov_517.281271_g788_i7	2027	2014	1963	1870	1935	1868
NODE_49647_length_1264_cov_276.063063_g14030_i0	1235	1217	1386	1570	1528	1376
NODE_76110_length_479_cov_420.107798_g32201_i0	474	458	445	587	570	607
NODE_67191_length_670_cov_361.263158_g24135_i0	240	252	241	368	386	385
NODE_42970_length_1549_cov_275.996016_g8110_i2	469	433	463	635	622	589
NODE_61895_length_822_cov_308.836970_g20294_i0	12	13	12	109	114	115
NODE_17937_length_3107_cov_23.036554_g4189_i1	37	39	33	145	149	152
NODE_62130_length_814_cov_374.599222_g20452_i0	323	309	322	457	459	457
NODE_33439_length_2013_cov_263.883249_g310_i14	370	387	346	481	470	534
NODE_56189_length_1011_cov_100.620868_g16972_i0	46	44	52	171	164	163
NODE_53528_length_1108_cov_511.927700_g13642_i2	372	442	349	498	510	547
NODE_74779_length_504_cov_386.362256_g30906_i0	29	25	28	124	134	142
NODE_26772_length_2410_cov_634.601183_g6640_i1	239	230	252	411	379	374
NODE_60378_length_870_cov_503.546554_g19332_i0	603	439	554	836	777	773
NODE_35743_length_1890_cov_90.481862_g9250_i0	32	30	28	131	136	135
NODE_50450_length_1231_cov_804.500000_g10_i10952	24	34	22	125	131	136
NODE_55297_length_1043_cov_648.577000_g9416_i2	477	479	456	577	577	566
NODE_46439_length_1398_cov_322.695203_g12759_i0	25	22	26	127	122	125
NODE_37634_length_1797_cov_362.158495_g10_i8950	375	356	409	576	532	508
NODE_48234_length_1321_cov_241.356808_g13442_i0	21	21	16	114	116	118
NODE_74324_length_512_cov_339.874200_g30467_i0	31	27	31	138	136	126
NODE_49216_length_1280_cov_478.994341_g2144_i22	413	404	390	528	528	499
NODE_63358_length_777_cov_505.965940_g21276_i0	58	63	64	180	165	177
NODE_101068_length_248_cov_540.248780_g57087_i0	279	254	238	381	372	409
NODE_44215_length_1492_cov_749.991028_g12009_i0	176	176	168	291	296	295
NODE_48967_length_1289_cov_532.676565_g13755_i0	659	649	647	760	751	707
NODE_35493_length_1903_cov_288.124731_g211_i24	580	600	672	790	750	710
NODE_48920_length_1291_cov_312.169071_g13733_i0	535	519	620	759	718	678
NODE_30318_length_2191_cov_630.062849_g10_i7613	237	249	240	355	347	363
NODE_42148_length_1584_cov_556.399740_g10_i9695	360	352	336	446	445	473
NODE_34873_length_1936_cov_304.974643_g10_i8438	402	424	398	512	519	492
NODE_43141_length_1541_cov_336.148865_g9701_i1	336	328	344	453	440	452
NODE_54173_length_1084_cov_749.235351_g10463_i1	3851	4121	3794	3121	3067	3280
NODE_15461_length_3363_cov_328.276807_g3182_i1	270	288	328	455	421	423
NODE_23682_length_2623_cov_378.350775_g5814_i0	165	163	178	296	286	291
NODE_61162_length_845_cov_752.023691_g19816_i0	1486	1367	1336	1346	1428	1364
NODE_56727_length_992_cov_485.807165_g17255_i0	859	1037	756	908	968	1122
NODE_24562_length_2559_cov_593.768680_g6017_i1	110	109	113	237	244	215
NODE_48815_length_1295_cov_318.941693_g55_i9	86	81	80	193	194	194
NODE_46896_length_1378_cov_395.455431_g12929_i0	74	72	78	188	184	184
NODE_76766_length_468_cov_514.310588_g32846_i0	43	30	36	144	141	138
NODE_82827_length_383_cov_560.841176_g38855_i0	237	222	251	377	337	380
NODE_61693_length_828_cov_817.477707_g20162_i0	695	701	602	714	809	731
NODE_32423_length_2070_cov_346.445486_g2603_i2	231	226	220	341	336	339
NODE_84460_length_365_cov_668.720497_g40482_i0	1809	1914	2024	2239	1869	1877
NODE_54658_length_1066_cov_546.061584_g16213_i0	1044	1076	1243	1272	1193	1167
NODE_102703_length_240_cov_735.461929_g58722_i0	66	56	73	178	197	165
NODE_55149_length_1048_cov_562.520398_g4396_i4	74	76	74	184	178	178
NODE_60287_length_873_cov_885.718072_g6554_i7	76	81	76	186	179	183
NODE_65794_length_707_cov_558.079819_g23052_i0	464	512	349	537	601	644
NODE_38652_length_1747_cov_331.884390_g10136_i1	39	45	42	137	136	142
NODE_52855_length_1134_cov_666.662695_g15329_i0	104	105	102	205	209	218
NODE_21166_length_2814_cov_391.881992_g1052_i5	317	319	344	497	467	415
NODE_60229_length_875_cov_511.687500_g10_i11998	3267	3154	3304	2910	2949	2762
NODE_35024_length_1928_cov_573.567109_g8643_i1	42	46	45	146	137	142
NODE_42420_length_1573_cov_234.676471_g11393_i0	16	15	14	99	97	101
NODE_50352_length_1235_cov_411.272651_g9031_i4	10	14	11	92	87	104
NODE_98315_length_262_cov_709.963470_g54335_i0	1782	1887	1511	1613	1713	1599
NODE_66898_length_677_cov_353.749211_g23906_i0	486	513	495	554	552	563
NODE_71462_length_568_cov_388.135238_g27789_i0	25	20	25	117	111	110
NODE_37101_length_1822_cov_239.350759_g8988_i1	329	211	366	708	529	579
NODE_50821_length_1217_cov_339.723169_g9790_i2	15	16	14	100	99	94
NODE_108847_length_214_cov_694.280702_g64866_i0	286	276	311	415	432	383
NODE_53935_length_1092_cov_785.714967_g15842_i0	193	198	190	294	296	295
NODE_62830_length_793_cov_492.986667_g20928_i0	238	247	241	339	320	362
NODE_67636_length_659_cov_396.870130_g24498_i0	458	530	539	38	36	38
NODE_56114_length_1014_cov_592.519053_g3475_i5	211	228	234	353	325	320
NODE_114837_length_192_cov_3.429530_g70856_i0	128	109	151	276	256	247
NODE_39573_length_1702_cov_457.292948_g9570_i1	33	40	28	117	119	141
NODE_52954_length_1130_cov_279.043238_g7706_i2	440	408	450	580	565	503
NODE_37525_length_1801_cov_406.081342_g10_i8926	375	361	316	418	434	493
NODE_53025_length_1127_cov_444.592251_g15411_i0	251	290	337	486	410	419
NODE_65238_length_722_cov_666.562592_g22617_i0	1885	1866	2058	2015	1941	1749
NODE_29681_length_2228_cov_650.583982_g1506_i3	289	308	312	399	389	391
NODE_19415_length_2960_cov_517.839561_g10_i5233	222	233	222	331	320	318
NODE_54600_length_1068_cov_594.578537_g9155_i4	24	23	21	109	102	109
NODE_31100_length_2145_cov_949.583254_g7863_i1	14813	14222	13632	11204	10767	11476
NODE_28679_length_2290_cov_597.181575_g6174_i1	167	157	170	274	277	263
NODE_72574_length_545_cov_77.229084_g28822_i0	826	791	871	878	873	838
NODE_33105_length_2031_cov_569.018612_g8424_i0	151	162	162	259	256	260
NODE_48638_length_1303_cov_510.104762_g13605_i0	431	457	461	511	509	514
NODE_70441_length_591_cov_708.220803_g12839_i2	1179	1254	1329	1263	1177	1181
NODE_69480_length_613_cov_725.661404_g26031_i0	1513	1454	1686	1574	2005	1545
NODE_49432_length_1273_cov_226.031707_g4005_i2	339	339	391	486	476	437
NODE_27054_length_2392_cov_230.413367_g10_i6983	361	318	329	448	447	420
NODE_55663_length_1030_cov_700.091185_g10_i11564	12840	11781	12915	10843	10848	10251
NODE_55468_length_1037_cov_324.935614_g16612_i0	241	330	260	366	377	389
NODE_31537_length_2120_cov_202.144439_g10_i7847	603	538	714	880	769	747
NODE_54755_length_1062_cov_282.174681_g16265_i0	10	11	11	89	83	86
NODE_23455_length_2640_cov_341.990759_g3024_i3	311	273	331	453	424	404
NODE_44927_length_1461_cov_290.318054_g12248_i0	10	12	10	85	86	86
NODE_42247_length_1580_cov_423.910865_g10_i9709	345	359	327	415	406	427
NODE_114588_length_192_cov_79.268456_g70607_i0	620	602	535	586	626	688
NODE_67847_length_653_cov_423.613115_g24667_i0	609	564	502	662	635	617
NODE_27488_length_2364_cov_757.604481_g5550_i2	98	93	88	192	186	193
NODE_51281_length_1197_cov_334.656846_g14679_i0	4	5	4	80	79	90
NODE_46080_length_1412_cov_456.107378_g4938_i5	413	415	458	531	512	493
NODE_57215_length_976_cov_346.972133_g10_i11723	454	411	394	500	575	488
NODE_50235_length_1240_cov_416.022556_g14268_i0	252	275	236	324	333	359
NODE_82672_length_385_cov_73.912281_g38700_i0	708	686	609	645	693	769
NODE_2805_length_6681_cov_697.443658_g10_i689	136	153	163	263	254	243
NODE_42582_length_1567_cov_229.910105_g1823_i5	442	439	466	559	552	491
NODE_67486_length_663_cov_364.682258_g24373_i0	79	99	77	180	178	182
NODE_37252_length_1814_cov_269.479955_g9696_i0	19	19	18	99	96	93
NODE_49215_length_1280_cov_595.198868_g13867_i0	155	199	307	544	381	481
NODE_62716_length_797_cov_682.283820_g13639_i2	106	148	128	222	216	245
NODE_47107_length_1369_cov_466.135747_g13004_i0	103	103	102	196	193	197
NODE_37310_length_1811_cov_377.299774_g2582_i6	424	471	407	506	500	472
NODE_24472_length_2566_cov_212.420927_g515_i44	293	266	328	454	405	389
NODE_67281_length_668_cov_572.705600_g10_i12409	199	194	202	285	285	289
NODE_29951_length_2211_cov_328.940959_g10_i7546	361	423	496	587	577	505
NODE_65877_length_705_cov_624.962236_g23119_i0	22	18	22	92	104	97
NODE_33878_length_1990_cov_562.605033_g994_i9	433	416	626	889	739	655
NODE_25500_length_2494_cov_581.519380_g6304_i0	152	163	155	245	234	254
NODE_61572_length_832_cov_375.176172_g13484_i2	272	354	288	5	5	6
NODE_75931_length_482_cov_708.767654_g32026_i0	255	260	304	401	352	369
NODE_29249_length_2255_cov_290.782098_g7244_i1	86	90	93	185	181	175
NODE_51581_length_1186_cov_543.174978_g6704_i3	82	147	122	263	204	268
NODE_63535_length_772_cov_441.655693_g8306_i6	10	9	9	79	71	88
NODE_79214_length_431_cov_448.585052_g35255_i0	544	477	388	535	691	599
NODE_58183_length_944_cov_193.650388_g18058_i0	322	265	414	681	559	472
NODE_19593_length_2945_cov_360.824948_g3905_i3	42	44	43	123	121	131
NODE_62739_length_797_cov_34.958886_g20863_i0	2127	2144	2284	1869	1829	1838
NODE_58792_length_923_cov_880.537500_g10_i11872	23	17	34	144	125	93
NODE_54845_length_1059_cov_443.945866_g16314_i0	42	44	44	123	126	126
NODE_51826_length_1177_cov_1033.616402_g9496_i3	383	403	364	434	430	438
NODE_45853_length_1421_cov_608.087083_g7243_i5	119	123	124	206	217	208
NODE_55883_length_1022_cov_407.931563_g16816_i0	5	4	5	74	80	72
NODE_3836_length_6022_cov_496.620505_g308_i1	42	43	40	124	113	134
NODE_38650_length_1747_cov_535.116197_g667_i58	80	82	89	172	169	175
NODE_47816_length_1339_cov_187.574074_g10_i10589	227	240	243	319	318	309
NODE_63569_length_771_cov_658.627747_g21427_i0	228	250	233	332	353	294
NODE_23536_length_2634_cov_329.217677_g3859_i2	295	309	261	355	365	358
NODE_41513_length_1611_cov_593.802934_g11071_i0	135	134	133	219	213	228
NODE_61601_length_831_cov_238.513959_g20109_i0	9	9	10	78	72	81
NODE_16282_length_3273_cov_357.352941_g3959_i0	14	15	14	85	82	84
NODE_64285_length_750_cov_1010.207921_g21932_i0	82	90	89	185	165	174
NODE_8771_length_4370_cov_413.088052_g10_i2482	334	317	304	377	411	378
NODE_39907_length_1687_cov_522.484793_g10_i9331	21	21	22	87	94	100
NODE_38680_length_1746_cov_605.193776_g6368_i2	63	63	59	142	143	147
NODE_18545_length_3042_cov_402.269757_g4525_i0	452	437	422	495	444	520
NODE_31432_length_2126_cov_420.227556_g3601_i2	453	500	517	541	525	515
