	KO definition	gene name	counts
623	collagen type VII alpha	['NODE_24058_length_2598_cov_603.844618_g5029_i3_4', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_5', 'NODE_24967_length_2532_cov_403.345119_g5897_i1_3', 'NODE_31099_length_2145_cov_978.660799_g7863_i0_2', 'NODE_31387_length_2129_cov_555.093960_g4675_i1_6', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_5', 'NODE_36845_length_1834_cov_427.977666_g9563_i0_5', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_4', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_2', 'NODE_48698_length_1300_cov_944.549722_g7438_i6_1', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_4', 'NODE_54360_length_1076_cov_686.294288_g16046_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_5', 'NODE_54889_length_1057_cov_1276.558185_g5029_i5_4', 'NODE_60194_length_876_cov_1059.810324_g19231_i0_4', 'NODE_67158_length_672_cov_9.523052_g24107_i0_3', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_4']	17
621	collagen type V/XI/XXIV/XXVII, alpha	['NODE_24058_length_2598_cov_603.844618_g5029_i3_4', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_5', 'NODE_31099_length_2145_cov_978.660799_g7863_i0_2', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_3', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_5', 'NODE_36845_length_1834_cov_427.977666_g9563_i0_5', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_4', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_2', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_4', 'NODE_48698_length_1300_cov_944.549722_g7438_i6_1', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_4', 'NODE_54360_length_1076_cov_686.294288_g16046_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_5', 'NODE_54889_length_1057_cov_1276.558185_g5029_i5_4', 'NODE_60194_length_876_cov_1059.810324_g19231_i0_4', 'NODE_67158_length_672_cov_9.523052_g24107_i0_3', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_4']	17
620	collagen type IX alpha	['NODE_24058_length_2598_cov_603.844618_g5029_i3_4', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_5', 'NODE_31099_length_2145_cov_978.660799_g7863_i0_2', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_3', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_5', 'NODE_36845_length_1834_cov_427.977666_g9563_i0_5', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_4', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_2', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_4', 'NODE_48698_length_1300_cov_944.549722_g7438_i6_1', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_4', 'NODE_54360_length_1076_cov_686.294288_g16046_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_5', 'NODE_54889_length_1057_cov_1276.558185_g5029_i5_4', 'NODE_60194_length_876_cov_1059.810324_g19231_i0_4', 'NODE_67158_length_672_cov_9.523052_g24107_i0_3', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_4']	17
1434	pulmonary surfactant-associated protein D	['NODE_15196_length_3397_cov_257.655337_g3682_i0_6', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_4', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_5', 'NODE_31099_length_2145_cov_978.660799_g7863_i0_2', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_5', 'NODE_36845_length_1834_cov_427.977666_g9563_i0_5', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_4', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_2', 'NODE_48698_length_1300_cov_944.549722_g7438_i6_1', 'NODE_52579_length_1145_cov_467.079855_g15210_i0_4', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_4', 'NODE_54360_length_1076_cov_686.294288_g16046_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_5', 'NODE_54889_length_1057_cov_1276.558185_g5029_i5_4', 'NODE_60194_length_876_cov_1059.810324_g19231_i0_4', 'NODE_67158_length_672_cov_9.523052_g24107_i0_3', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_4']	17
640	collagen type XXVIII alpha	['NODE_24058_length_2598_cov_603.844618_g5029_i3_4', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_5', 'NODE_24967_length_2532_cov_403.345119_g5897_i1_3', 'NODE_31099_length_2145_cov_978.660799_g7863_i0_2', 'NODE_31387_length_2129_cov_555.093960_g4675_i1_6', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_5', 'NODE_36845_length_1834_cov_427.977666_g9563_i0_5', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_4', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_2', 'NODE_48698_length_1300_cov_944.549722_g7438_i6_1', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_4', 'NODE_54360_length_1076_cov_686.294288_g16046_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_5', 'NODE_54889_length_1057_cov_1276.558185_g5029_i5_4', 'NODE_60194_length_876_cov_1059.810324_g19231_i0_4', 'NODE_67158_length_672_cov_9.523052_g24107_i0_3', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_4']	17
626	collagen type XII alpha	['NODE_24058_length_2598_cov_603.844618_g5029_i3_4', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_5', 'NODE_24967_length_2532_cov_403.345119_g5897_i1_3', 'NODE_31099_length_2145_cov_978.660799_g7863_i0_2', 'NODE_31387_length_2129_cov_555.093960_g4675_i1_6', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_5', 'NODE_36845_length_1834_cov_427.977666_g9563_i0_5', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_4', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_2', 'NODE_48698_length_1300_cov_944.549722_g7438_i6_1', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_4', 'NODE_54360_length_1076_cov_686.294288_g16046_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_5', 'NODE_54889_length_1057_cov_1276.558185_g5029_i5_4', 'NODE_60194_length_876_cov_1059.810324_g19231_i0_4', 'NODE_67158_length_672_cov_9.523052_g24107_i0_3', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_4']	17
618	collagen type III alpha	['NODE_24058_length_2598_cov_603.844618_g5029_i3_4', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_5', 'NODE_31099_length_2145_cov_978.660799_g7863_i0_2', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_3', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_5', 'NODE_36845_length_1834_cov_427.977666_g9563_i0_5', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_4', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_2', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_4', 'NODE_48698_length_1300_cov_944.549722_g7438_i6_1', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_4', 'NODE_54360_length_1076_cov_686.294288_g16046_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_5', 'NODE_54889_length_1057_cov_1276.558185_g5029_i5_4', 'NODE_60194_length_876_cov_1059.810324_g19231_i0_4', 'NODE_67158_length_672_cov_9.523052_g24107_i0_3', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_4']	17
624	collagen type VIII alpha	['NODE_24058_length_2598_cov_603.844618_g5029_i3_4', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_5', 'NODE_31099_length_2145_cov_978.660799_g7863_i0_2', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_5', 'NODE_36845_length_1834_cov_427.977666_g9563_i0_5', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_4', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_2', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_4', 'NODE_48698_length_1300_cov_944.549722_g7438_i6_1', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_4', 'NODE_54360_length_1076_cov_686.294288_g16046_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_5', 'NODE_54889_length_1057_cov_1276.558185_g5029_i5_4', 'NODE_60194_length_876_cov_1059.810324_g19231_i0_4', 'NODE_67158_length_672_cov_9.523052_g24107_i0_3', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_4', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_6']	17
616	collagen type I alpha	['NODE_24058_length_2598_cov_603.844618_g5029_i3_4', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_5', 'NODE_31099_length_2145_cov_978.660799_g7863_i0_2', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_3', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_5', 'NODE_36845_length_1834_cov_427.977666_g9563_i0_5', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_4', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_2', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_4', 'NODE_48698_length_1300_cov_944.549722_g7438_i6_1', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_4', 'NODE_54360_length_1076_cov_686.294288_g16046_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_5', 'NODE_54889_length_1057_cov_1276.558185_g5029_i5_4', 'NODE_60194_length_876_cov_1059.810324_g19231_i0_4', 'NODE_67158_length_672_cov_9.523052_g24107_i0_3', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_4']	17
628	collagen type XIV alpha	['NODE_24058_length_2598_cov_603.844618_g5029_i3_4', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_5', 'NODE_31099_length_2145_cov_978.660799_g7863_i0_2', 'NODE_31387_length_2129_cov_555.093960_g4675_i1_6', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_5', 'NODE_36845_length_1834_cov_427.977666_g9563_i0_5', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_4', 'NODE_40297_length_1668_cov_702.177231_g1000_i10_2', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_2', 'NODE_48698_length_1300_cov_944.549722_g7438_i6_1', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_4', 'NODE_54360_length_1076_cov_686.294288_g16046_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_5', 'NODE_54889_length_1057_cov_1276.558185_g5029_i5_4', 'NODE_60194_length_876_cov_1059.810324_g19231_i0_4', 'NODE_67158_length_672_cov_9.523052_g24107_i0_3', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_4']	17
649	complement C1q subcomponent subunit A	['NODE_24058_length_2598_cov_603.844618_g5029_i3_4', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_5', 'NODE_31099_length_2145_cov_978.660799_g7863_i0_2', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_5', 'NODE_36845_length_1834_cov_427.977666_g9563_i0_5', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_4', 'NODE_40297_length_1668_cov_702.177231_g1000_i10_2', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_2', 'NODE_48698_length_1300_cov_944.549722_g7438_i6_1', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_4', 'NODE_54360_length_1076_cov_686.294288_g16046_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_5', 'NODE_54889_length_1057_cov_1276.558185_g5029_i5_4', 'NODE_60194_length_876_cov_1059.810324_g19231_i0_4', 'NODE_67158_length_672_cov_9.523052_g24107_i0_3', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_4']	17
642	collectin sub-family member 11	['NODE_24058_length_2598_cov_603.844618_g5029_i3_4', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_5', 'NODE_31099_length_2145_cov_978.660799_g7863_i0_2', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_5', 'NODE_36845_length_1834_cov_427.977666_g9563_i0_5', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_4', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_2', 'NODE_48698_length_1300_cov_944.549722_g7438_i6_1', 'NODE_52579_length_1145_cov_467.079855_g15210_i0_4', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_4', 'NODE_54360_length_1076_cov_686.294288_g16046_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_5', 'NODE_54889_length_1057_cov_1276.558185_g5029_i5_4', 'NODE_60194_length_876_cov_1059.810324_g19231_i0_4', 'NODE_67158_length_672_cov_9.523052_g24107_i0_3', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_4']	16
643	collectin sub-family member 12	['NODE_24058_length_2598_cov_603.844618_g5029_i3_4', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_5', 'NODE_31099_length_2145_cov_978.660799_g7863_i0_2', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_5', 'NODE_36845_length_1834_cov_427.977666_g9563_i0_5', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_4', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_2', 'NODE_48698_length_1300_cov_944.549722_g7438_i6_1', 'NODE_52579_length_1145_cov_467.079855_g15210_i0_4', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_4', 'NODE_54360_length_1076_cov_686.294288_g16046_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_5', 'NODE_54889_length_1057_cov_1276.558185_g5029_i5_4', 'NODE_60194_length_876_cov_1059.810324_g19231_i0_4', 'NODE_67158_length_672_cov_9.523052_g24107_i0_3', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_4']	16
